agent_name,lambda,episode,urllc_violation_rate,embb_outage_rate
fixed_rr,0.2,0,0.0,0.007142857142857143
fixed_rr,0.2,1,0.0,0.0
fixed_rr,0.2,2,0.0,0.007142857142857143
baseline_ppo,0.2,0,0.0,0.03571428571428571
baseline_ppo,0.2,1,0.0,0.03571428571428571
baseline_ppo,0.2,2,0.0,0.03571428571428571
var_ppo,0.2,0,0.0,0.05
var_ppo,0.2,1,0.0,0.03571428571428571
var_ppo,0.2,2,0.0,0.03571428571428571
fixed_rr,0.5,0,0.0,0.007142857142857143
fixed_rr,0.5,1,0.0,0.007142857142857143
fixed_rr,0.5,2,0.007142857142857143,0.0
baseline_ppo,0.5,0,0.0,0.06428571428571428
baseline_ppo,0.5,1,0.0,0.06428571428571428
baseline_ppo,0.5,2,0.007142857142857143,0.06428571428571428
var_ppo,0.5,0,0.0,0.05714285714285714
var_ppo,0.5,1,0.0,0.05
var_ppo,0.5,2,0.007142857142857143,0.07142857142857142
fixed_rr,0.8,0,0.05714285714285714,0.03571428571428571
fixed_rr,0.8,1,0.05,0.014285714285714285
fixed_rr,0.8,2,0.02857142857142857,0.014285714285714285
baseline_ppo,0.8,0,0.05714285714285714,0.07142857142857142
baseline_ppo,0.8,1,0.05,0.07142857142857142
baseline_ppo,0.8,2,0.02857142857142857,0.07142857142857142
var_ppo,0.8,0,0.05714285714285714,0.07142857142857142
var_ppo,0.8,1,0.05,0.07142857142857142
var_ppo,0.8,2,0.02857142857142857,0.07142857142857142
fixed_rr,1.0,0,0.10714285714285714,0.02142857142857143
fixed_rr,1.0,1,0.18571428571428572,0.007142857142857143
fixed_rr,1.0,2,0.11428571428571428,0.007142857142857143
baseline_ppo,1.0,0,0.10714285714285714,0.07142857142857142
baseline_ppo,1.0,1,0.18571428571428572,0.07142857142857142
baseline_ppo,1.0,2,0.11428571428571428,0.07142857142857142
var_ppo,1.0,0,0.10714285714285714,0.07142857142857142
var_ppo,1.0,1,0.18571428571428572,0.07142857142857142
var_ppo,1.0,2,0.11428571428571428,0.07142857142857142
fixed_rr,1.5,0,0.4928571428571429,0.02142857142857143
fixed_rr,1.5,1,0.6,0.04285714285714286
fixed_rr,1.5,2,0.42142857142857143,0.02142857142857143
baseline_ppo,1.5,0,0.4928571428571429,0.07142857142857142
baseline_ppo,1.5,1,0.6,0.07142857142857142
baseline_ppo,1.5,2,0.42142857142857143,0.07142857142857142
var_ppo,1.5,0,0.4928571428571429,0.07142857142857142
var_ppo,1.5,1,0.6,0.07142857142857142
var_ppo,1.5,2,0.42142857142857143,0.07142857142857142
